1,018813007-1,hat,20,custo4,2021-04-29
2,049539158-1,phohe,15,custo4,2020-11-30
3,307255982-1,jaket,10,custo1,2020-04-02
4,572388069-1,tshirt,19,custo3,2020-03-05
5,776111507-9,phohe,12,custo1,2021-02-21
6,187781796-1,hat,14,custo5,2020-06-13
7,068344936-2,jaket,18,custo5,2020-03-11
8,579141751-9,pents,14,custo5,2021-05-18
9,603508410-9,jaket,11,custo5,2020-06-18
10,314871244-7,hat,6,custo2,2020-07-20
11,688869146-2,jaket,16,custo1,2021-01-02
12,045178650-5,jaket,16,custo2,2020-08-15
13,475257030-0,Tv,14,custo3,2021-02-04
14,306369403-7,hat,13,custo1,2021-01-04
15,375650155-8,tshirt,14,custo1,2020-08-22
16,599365066-4,tshirt,9,custo4,2021-01-15
17,308776134-6,pents,5,custo2,2020-07-21
18,166066130-7,Tv,11,custo1,2021-04-29
19,736726012-X,tshirt,19,custo3,2020-06-07
20,859286492-5,Tv,13,custo5,2021-04-21
21,869162199-0,pents,12,custo2,2020-10-28
22,938806932-3,Tv,13,custo2,2020-10-16
23,662458314-2,pents,5,custo5,2020-03-11
24,014925188-2,Tv,20,custo5,2020-05-28
25,825303310-9,pents,17,custo3,2021-01-08
26,333649896-1,Tv,12,custo2,2020-04-04
27,917235350-3,jaket,9,custo5,2020-07-04
28,762304658-6,tshirt,13,custo3,2020-08-27
29,262594926-0,Tv,20,custo5,2021-05-01
30,152960137-1,hat,6,custo3,2021-03-04
31,388429233-1,hat,9,custo1,2021-01-15
32,295101764-2,hat,18,custo4,2020-08-30
33,609995074-5,jaket,16,custo1,2021-04-25
34,253531945-4,Tv,15,custo4,2021-03-22
35,551439969-9,hat,20,custo1,2020-08-07
36,741206687-0,Tv,14,custo3,2020-04-15
37,932695615-6,hat,6,custo2,2021-01-21
38,607222604-3,phohe,8,custo5,2020-03-04
39,854979019-2,Tv,7,custo1,2020-04-08
40,709837861-5,Tv,20,custo4,2020-12-05
