1,231231699-4,hat,17,custo3
2,343885166-0,phohe,5,custo2
3,607643136-9,hat,15,custo1
4,952442099-6,Tv,16,custo1
5,918932275-4,phohe,16,custo1
6,099439365-2,pents,9,custo2
7,027531103-1,jaket,6,custo5
8,733701436-8,phohe,18,custo5
9,403522885-0,Tv,14,custo3
10,615850865-9,pents,12,custo1
11,721643433-1,pents,7,custo5
12,044714770-6,jaket,20,custo2
13,994669751-3,pents,16,custo3
14,285649968-6,Tv,16,custo2
15,042892256-2,hat,15,custo3
16,438098601-2,pents,13,custo1
17,001744365-2,Tv,16,custo3
18,541228731-X,Tv,12,custo3
19,434843328-3,hat,14,custo3
20,706429637-3,tshirt,17,custo5
21,166454866-1,jaket,11,custo1
22,409023061-6,hat,17,custo2
23,828055710-5,Tv,20,custo2
24,182269285-7,phohe,9,custo5
25,900942405-7,tshirt,15,custo1
26,847640596-0,hat,17,custo2
27,890088686-X,hat,14,custo1
28,319347293-X,pents,11,custo4
29,188048712-8,hat,6,custo3
30,883445309-3,pents,18,custo3
31,094941389-5,tshirt,12,custo1
32,196615485-2,tshirt,5,custo3
33,895811402-9,jaket,9,custo5
34,018327553-5,hat,11,custo2
35,590714945-0,pents,11,custo4
36,594147136-X,tshirt,18,custo2
37,633256709-0,hat,20,custo2
38,711675527-6,phohe,14,custo2
39,711522686-5,jaket,6,custo2
40,098932798-1,jaket,6,custo5
